IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
CM_01,Number of under-five deaths,numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2021,false,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Q1 (Poorest),WEALTHQUINTILE_WQ1,,,,20240,,,15872,,25447,20 240 [15 872-25 447],,,EN,2025-04-14T18:30:00.000Z
CM_01,Number of under-five deaths,numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2021,false,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,84498,,,67508,,104683,84 498 [67 508-104 683],,,EN,2025-04-14T18:30:00.000Z
WHOSIS_000016,Mortality rate among children ages 5 to 9 years (per 1000 children aged 5),numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2021,false,Sex,Both sexes,SEX_BTSX,Age Group,5-9 years,AGEGROUP_YEARS05-09,,,,,,,3.61,,,2.73,,4.47,3.6 [2.7-4.5],,,EN,2025-04-14T18:30:00.000Z
CM_04,Number of deaths among children ages 5 to 9 years,numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2021,false,Sex,Both sexes,SEX_BTSX,Age Group,5-9 years,AGEGROUP_YEARS05-09,,,,,,,4230,,,3268,,5255,4230 [3268-5255],,,EN,2025-04-14T18:30:00.000Z
WHOSIS_000003,Neonatal mortality rate (per 1000 live births),text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2020,false,Sex,Both sexes,SEX_BTSX,Age Group,0-27 days,AGEGROUP_DAYS0-27,,,,,,,36.92,,,29.71,,45.21,36.9 [29.7-45.2],,,EN,2025-04-14T18:30:00.000Z
CM_03,Number of neonatal deaths,numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2020,false,Sex,Both sexes,SEX_BTSX,Age Group,0-27 days,AGEGROUP_DAYS0-27,,,,,,,52740,,,42449,,64581,52 740 [42 449-64 581],,,EN,2025-04-14T18:30:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2020,false,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,55.28,,,45.04,,67.15,55.3 [45.0-67.1],,,EN,2025-04-14T18:30:00.000Z
CM_02,Number of infant deaths,numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2020,false,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,77662,,,63371,,94176,77 662 [63 371-94 176],,,EN,2025-04-14T18:30:00.000Z
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2020,false,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Q5 (Richest),WEALTHQUINTILE_WQ5,,,,44.07,,,34.76,,55.32,44.1 [34.8-55.3],,,EN,2025-04-14T18:30:00.000Z
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2020,false,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Q4,WEALTHQUINTILE_WQ4,,,,55.85,,,44.59,,68.72,55.9 [44.6-68.7],,,EN,2025-04-14T18:30:00.000Z
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2020,false,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,61.31,,,49.94,,74.47,61.3 [49.9-74.5],,,EN,2025-04-14T18:30:00.000Z
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2020,false,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Q3,WEALTHQUINTILE_WQ3,,,,64.22,,,51.92,,78.44,64.2 [51.9-78.4],,,EN,2025-04-14T18:30:00.000Z
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2020,false,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Q2,WEALTHQUINTILE_WQ2,,,,69.32,,,55.71,,84.98,69.3 [55.7-85.0],,,EN,2025-04-14T18:30:00.000Z
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2020,false,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Q1 (Poorest),WEALTHQUINTILE_WQ1,,,,73.07,,,58.45,,90.07,73.1 [58.5-90.1],,,EN,2025-04-14T18:30:00.000Z
CM_01,Number of under-five deaths,numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2020,false,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Q5 (Richest),WEALTHQUINTILE_WQ5,,,,12343,,,9746,,15472,12 343 [9746-15 472],,,EN,2025-04-14T18:30:00.000Z
CM_01,Number of under-five deaths,numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2020,false,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Q4,WEALTHQUINTILE_WQ4,,,,15642,,,12497,,19228,15 642 [12 497-19 228],,,EN,2025-04-14T18:30:00.000Z
CM_01,Number of under-five deaths,numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2020,false,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Q3,WEALTHQUINTILE_WQ3,,,,17986,,,14556,,21941,17 986 [14 556-21 941],,,EN,2025-04-14T18:30:00.000Z
